ID,Prenda,Modelo,Precio,Dia de la semana,Dia,Mes,Año
1,Legging ,Cotton 7/8 Salvia,12600,Wednesday,10,5,2023
2,Yoguineta,No Gender,14300,Thursday,11,5,2023
3,Polainas,Negras,7400,Thursday,11,5,2023
4,Jogger,Mindfulness,16000,Thursday,11,5,2023
5,Buzo,Mindfulness,17300,Thursday,11,5,2023
6,Legging,7/8 Cotton Sadhana Indigo,12600,Thursday,11,5,2023
7,Legging,Cotton 7/8 Salvia,12600,Tuesday,16,5,2023
8,Legging,Cotton 7/8 Salvia,12600,Tuesday,16,5,2023
10,Cuellito ,Lulea,3290,Tuesday,16,5,2023
11,Yoguineta ,No Gender ,15500,Tuesday,16,5,2023
12,Pantalon,Mindfulness,15000,Tuesday,16,5,2023
13,Anorak,Oversize Bordo,23200,Tuesday,16,5,2023
14,Buzo,No Gender Duo,20300,Tuesday,16,5,2023
15,Top,Crop New White,20300,Tuesday,16,5,2023
16,Legging,Supplex,13700,Tuesday,16,5,2023
17,Remera,Bamboo,9600,Tuesday,16,5,2023
18,Remera ,Crop Hima,8800,Thursday,18,5,2023
19,Remera ,Crop Hima,8800,Thursday,18,5,2023
20,Legging ,7/8 Gaia,14700,Thursday,18,5,2023
21,Crop,Dhanura,8500,Thursday,18,5,2023
22,Crop,Kurma,8400,Thursday,18,5,2023
23,Crop,Kurma,8400,Thursday,18,5,2023
24,Crop,Kurma,8400,Thursday,18,5,2023
25,Jogger,Mindfulness,16900,Thursday,18,5,2023
26,Pantalon,Mindfulness,16900,Thursday,18,5,2023
27,Buzo,Mindfulness,17300,Thursday,18,5,2023
28,Remera,Crop lulea cotton,9200,Thursday,18,5,2023
29,Remera,Bamboo Blanca,9600,Thursday,18,5,2023
30,Legging,7/8 Somos Antepasados,12600,Thursday,18,5,2023
31,Top,Shanti Somos Antepasados,8700,Thursday,18,5,2023
32,Legging,7/8 Flora,14700,Thursday,18,5,2023
33,Cuellito,Lulea,3290,Monday,22,5,2023
34,Pantalon,Warm Up,14500,Monday,22,5,2023
35,Legging,Cotton 7/8 Salvia,12600,Monday,22,5,2023
36,Remera ,Bamboo,9600,Monday,22,5,2023
37,Pantalon,Mindfulness,16900,Monday,22,5,2023
38,Buzo,Mindfulness,17300,Monday,22,5,2023
39,Pantalon,Mindfulness,16900,Wednesday,24,5,2023
40,Legging,7/8 Cotton Sadhana,12600,Wednesday,24,5,2023
41,Crop,Kurma,8400,Wednesday,24,5,2023
42,Remera Crop,Hima,8800,Wednesday,24,5,2023
43,Remera ,Somos antepasados y descendientes,9000,Thursday,25,5,2023
